text	gloss	category
tôi muốn xin lỗi vì sự bất cẩn của tôi tôi có thể dọn dẹp nó cho bạn	TÔI XIN LỖI BẤT CẨN TÔI ĐỂ TÔI DỌN BẠN GIÚP	Thái độ và Cảm xúc
pcc là một tổ chức tuyệt vời	PCC TỔ CHỨC TUYỆT VỜI	Văn hóa và Giáo dục
cậu bé ngập ngừng mãi mới dám nói lời xin lỗi bạn	CẬU BÉ NGẬP NGỪNG ẤP ÚNG LÂU CẬU BÉ BẠN XIN LỖI NÓI	Thái độ và Cảm xúc
điều này rất thú vị bạn parker	ĐIỀU NÀY THÚ VỊ	Cuộc sống học đường
tôi nghe nói anh phải mặc đồng phục ở trường tư	TÔI NGHE NÓI TRƯỜNG TƯ ĐỒNG PHỤC MẶC PHẢI	Cuộc sống học đường
bố tôi làm nghề lái tàu hỏa đã được hai mươi năm	BỐ TÔI LÁI TÀU HOẢ 20 NĂM RỒI	Công việc
nền khoa học kỹ thuật của đất nước đã có nhiều tiến bộ	ĐẤT NƯỚC NỀN KHOA HỌC KỸ THUẬT CÓ TIẾN BỘ NHIỀU	Văn hóa và Giáo dục
em gái của bạn đã sống ở hà nội bao lâu	EM GÁI CỦA BẠN SỐNG Ở HÀ NỘI BAO LÂU	Du lịch
giờ thì chúng ta cùng nhau ăn tối nhé	BÂY GIỜ CHÚNG TA ĂN TỐI CÙNG	Mối quan hệ
đàn huơu sao đang thong dong gặm cỏ trong khu rừng quốc gia	TRONG KHU RỪNG QUỐC GIA ĐÀN HƯƠU SAO CỎ GẶM CHẬM DÃI	Du lịch
chào bạn bạn làm nghề gì	CHÀO BẠN LÀM GÌ	Mối quan hệ
đó là cách tốt nhất	ĐÓ TỐT NHẤT	Tài chính
giá của bạn đã tăng mạnh phải không	GIÁ BÊN BẠN TĂNG MẠNH RỒI ĐÚNG KHÔNG	Công việc
đàn chim bồ câu thường bay về đậu trên mái nhà vào buổi chiều	VÀO BUỔI CHIỀU ĐÀN CHIM BỒ CÂU BAY VỀ MÁI NHÀ ĐẬU	Cuộc sống thường nhật
bạn muốn mấy quả trứng này không	BẠN QUẢ TRỨNG NÀY MUỐN KHÔNG	Cuộc sống thường nhật
tôi có thể kiểm tra những gì	KIỂM TRA GÌ	Cuộc sống học đường
học sinh đang thực hành trong phòng máy tính của trường	TRƯỜNG PHÒNG MÁY TÍNH HỌC SINH THỰC HÀNH	Cuộc sống học đường
bạn có thể di chuyển đến giữa xe buýt không	BẠN ĐỨNG DỊCH GIỮA XE BUÝT ĐƯỢC KHÔNG	Cuộc sống thường nhật
chiếc hộp bút của em có rất nhiều bút chì màu	EM CHIẾC HỘP BÚT BÚT CHÌ MÀU CÓ NHIỀU	Cuộc sống học đường
cảm ơn bạn sẽ cho tôi một ân huệ khác	CẢM ƠN BẠN TÔI THÊM MỘT VIỆC GIÚP ĐƯỢC KHÔNG	Cuộc sống thường nhật
1 kg gà sẽ có giá bao nhiêu	1 KG GÀ GIÁ BAO NHIÊU	Cuộc sống thường nhật
bạn khỏe không	BẠN KHỎE KHÔNG	Mối quan hệ
oh tôi xin lỗi có gì trên kênh 2 lúc 10 giờ tối	Ô XIN LỖI TỐI GIỜ 10 KÊNH 2 CÓ GÌ	Mối quan hệ
tôi ổn cảm ơn	TÔI ỔN CẢM ƠN	Tài chính
tôi cười như điên khi đọc truyện cười	TÔI CƯỜI NHIỀU KHI ĐỌC CÂU CHUYỆN CƯỜI	Thái độ và Cảm xúc
người phụ nữ dân tộc địu con trên lưng bằng cái gùi	NGƯỜI PHỤ NỮ ĐỊU CON Ở CÁI GÙI	Văn hóa và Giáo dục
bạn thích loại trò chơi nào	BẠN TRÒ CHƠI LOẠI NÀO THÍCH	Mối quan hệ
đây có phải là điều mà bạn có thể lên lịch cho một thời gian khác	CÁI NÀY SẮP XẾP LÚC KHÁC ĐƯỢC KHÔNG	Cuộc sống học đường
đó là tốt đây có phải là tiền gửi thời gian không	ĐÂY TÀI KHOẢN TIỀN GỬI CÓ KỲ HẠN	Tài chính
vụ ném bom nguyên tử đã để lại hậu quả thảm khốc cho nhân loại	VỤ NÉM BOM NGUYÊN TỬ ĐỂ LẠI CHO NHÂN LOẠI HẬU QUẢ THẢM KHỐC	Chính trị
một cuộc hẹn	MỘT CUỘC HẸN	Công việc
bạn ngồi xuống được không ông white	BẠN NGỒI ĐƯỢC KHÔNG	Công việc
được rồi chiều mai tôi sẽ rảnh tôi sẽ đi taxi đến đó	CHIỀU MAI TÔI RẢNH TÔI TAXI ĐI ĐẾN ĐÓ	Cuộc sống thường nhật
những giọt nước mắt hạnh phúc lăn dài trên má của cô ấy	MÙA THU MÙA NHỮNG QUẢ NA THƠM NGON NGỌT	Thái độ và Cảm xúc
có đại dương sông suối và ao cá	ĐẠI DƯƠNG SÔNG SUỐI AO CÁ CÓ	Du lịch
anh ta tức giận đập mạnh tay xuống bàn làm mọi người giật mình	ANH TA TỨC GIẬN ĐẬP MẠNH XUỐNG BÀN MỌI NGƯỜI GIẬT MÌNH	Thái độ và Cảm xúc
bạn có thể đưa tôi đến ngân hàng	BẠN ĐƯA TÔI NGÂN HÀNG ĐẾN CÓ THỂ	Mối quan hệ
chắc chắn tôi chắc chắn sẽ giúp bạn làm điều đó	CHẮC CHẮN TÔI GIÚP BẠN LÀM ĐIỀU ĐÓ SẼ	Công việc
bầu trời hôm nay trong xanh không một gợn mây	HÔM NAY BẦU TRỜI TRONG XANH GỢN MÂY KHÔNG	Cuộc sống thường nhật
mẹ đang ngồi trong bếp để bóc vỏ tôm cho bữa tối	MẸ NGỒI TRONG BẾP VỎ TÔM BÓC CHO BỮA ĂN	Cuộc sống thường nhật
tôi không đi tôi ở nhà với gia đình	TÔI RA NGOÀI KHÔNG Ở NHÀ GIA ĐÌNH CÙNG	Mối quan hệ
căn phòng này có mùi hôi khó chịu vì không được dọn dẹp	CĂN PHÒNG NÀY MÙI HÔI KHÓ CHỊU CÓ VÌ DỌN DẸP KHÔNG	Cuộc sống thường nhật
tôi xin lỗi nhưng chúng tôi đã đặt chỗ vào thứ sáu	XIN LỖI NHƯNG CHÚNG TÔI CHỖ ĐẶT THỨ SÁU RỒI	Cuộc sống thường nhật
đôi ủng đen dùng để làm gì	ỦNG ĐEN LÀM GÌ	Cuộc sống thường nhật
nếu chúng ta vội liệu chúng ta có thể đến kịp không	NẾU CHÚNG TA VỘI CHÚNG TA ĐẾN KỊP KHÔNG	Mối quan hệ
vâng tất nhiên rất vui được gặp bạn	GẶP BẠN RẤT VUI	Mối quan hệ
xin chào vâng tôi đã mở một l  c với bạn gần đây chúng tôi mở nó 7 ngày trước	XIN CHÀO KHOẢNG 7 NGÀY BẠN GẦN CHÚNG TÔI CÔNG TY THƯ TÍN DỤNG MỞ	Tài chính
cả lớp ngước nhìn lên lá cờ đỏ sao vàng tung bay	CẢ LỚP NHÌN LÊN LÁ CỜ ĐỎ SAO VÀNG TUNG BAY	Cuộc sống học đường
phố kỳ lừa là một địa danh du lịch nổi tiếng của tỉnh lạng sơn	LẠNG SƠN PHỐ KỲ LỪA NƠI DU LỊCH NỔI TIẾNG	Du lịch
đùa thôi	ĐÙA	Mối quan hệ
sau khi bạn ở đây một năm bạn sẽ được nghỉ phép ba ngày	BẠN Ở ĐÂY 1 NĂM SAU BẠN NGHỈ PHÉP ĐƯỢC NGÀY 3	Công việc
nhà thơ đã sáng tác một bài thơ hay về tình yêu quê hương	NHÀ THƠ BÀI THƠ HAY 1 SÁNG TÁC VỀ QUÊ HƯƠNG TÌNH YÊU	Văn hóa và Giáo dục
cung tên là vũ khí thô sơ của người xưa dùng để săn bắn	CUNG TÊN VŨ KHÍ THÔ SƠ ĐƠN GIẢN CỦA NGƯỜI XƯA SĂN BẮN SĂN MỒI DÙNG	Văn hóa và Giáo dục
cả nhà cùng xem chương trình thời sự vào mỗi buổi tối	CẢ NHÀ CHƯƠNG TRÌNH THỜI SỰ XEM CÙNG NHAU VÀO MỖI BUỔI TỐI	Cuộc sống thường nhật
chúng tôi ăn tất cả mọi thứ từ bữa ăn tối	CHÚNG TÔI MỌI THỨ BỮA TỐI ĂN HẾT	Cuộc sống thường nhật
thực phẩm đông lạnh cần được rã đông đúng cách trước khi nấu	THỰC PHẨM ĐÔNG LẠNH RÃ ĐÔNG HẾT LẠNH ĐÚNG CẦN ĐƯỢC TRƯỚC KHI NẤU	Cuộc sống thường nhật
cô ấy sẽ đảm nhiệm vị trí trưởng phòng kinh doanh từ tháng sau	TỪ THÁNG SAU CÔ ẤY VỊ TRÍ TRƯỞNG PHÒNG KINH DOANH ĐẢM NHẬN	Công việc
cô ấy cảm thấy gì	CÔ ẤY CẢM THẤY GÌ	Sức khỏe
chúng tôi cần chuẩn bị đầy đủ dụng cụ cho buổi thí nghiệm	CHÚNG TÔI DỤNG CỤ CHO BUỔI THÍ NGHIỆM CHUẨN BỊ ĐẦY ĐỦ CẦN	Cuộc sống học đường
thật sao tôi nghĩ triển lãm cho thấy anh ấy có tài năng thực sự bạn nghĩ gì về nó	TRIỂN LÃM XEM ANH ẤY TÀI NĂNG CÓ THẬT SỰ BẠN NGHĨ THẾ NÀO	Mối quan hệ
vâng có điều gì bạn có thể cho tôi để thoát khỏi nó bác sĩ	VÂNG BẠN CHO TÔI THOÁT KHỎI CÓ GÌ	Sức khỏe
đúng như nó nói	ĐÚNG NÓI NÓ NHƯ	Cuộc sống thường nhật
đó là nước chanh của chúng tôi	NƯỚC CHANH CỦA CHÚNG TÔI	Cuộc sống thường nhật
tôi thấyđây có phải là cuộc phỏng vấn đầu tiên của bạn	TÔI HIỂU ĐÂY BUỔI PHỎNG VẤN ĐẦU TIÊN BẠN PHẢI KHÔNG	Văn hóa và Giáo dục
tôi nghe nói nhiều người có xe hơi	TÔI NGHE NHIỀU NGƯỜI Ô TÔ CÓ	Cuộc sống thường nhật
tôi hiểu nhưng tôi phải bàn bạc với sếp trước khi quyết định	TÔI HIỂU NHƯNG BÀN LẠI SẾP TRƯỚC QUYẾT ĐỊNH	Tài chính
nhân tiện mũi thế nào cậu bé chắc là đau lắm	À CÁI MŨI SAO RỒI CHẮC ĐAU LẮM HA	Thái độ và Cảm xúc
vị đại tá đang nghiêm trang đọc diễn văn trong buổi lễ	TRONG BUỔI LỄ VỊ ĐẠI TÁ NGIÊM TRANG ĐỌC DIỄN VĂN	Chính trị
tôi rất vui được làm việc với bạn	TÔI VUI KHI BẠN LÀM VIỆC CÙNG	Mối quan hệ
kêu ổng gọi cho tôi sáng mai	BẢO ÔNG ẤY GỌI CHO TÔI SÁNG MAI	Công việc
mẹ tôi thường dùng quả bầu để nấu món canh tôm	MẸ TÔI QUẢ BẦU DÙNG MÓN CANH TÔM NẤU	Cuộc sống thường nhật
bàn chân tôi có kích thước 37	CHÂN TÔI CỠ 37	Cuộc sống thường nhật
tôi là mary kell tôi có thể hỏi tên của bạn	TÔI BIẾT TÊN ANH ĐƯỢC KHÔNG	Công việc
tôi học giỏi môn toán nhất	TÔI MÔN TOÁN HỌC GIỎI NHẤT	Chính trị
không tôi phải ở dưới đất này	KHÔNG TÔI DƯỚI NÀY PHẢI	Cuộc sống thường nhật
bạn được quyền có một chiếc xe công ty bạn đã nhìn thấy nó chưa	BẠN ĐƯỢC CẤP XE CÔNG TY RỒI À NÓ THẤY CHƯA ĐÃ	Công việc
tàu của tôi sẽ khởi hành lúc 3 giờ tôi phải đến đó trước 2 giờ 50	TÀU TÔI KHỞI HÀNH 3 GIỜ TÔI ĐẾN ĐÓ TRƯỚC 2 GIỜ 50	Cuộc sống thường nhật
tôi có thể đến đó bằng xe buýt số 913 không	TÔI XE BUÝT SỐ 913 ĐẾN CÓ KHÔNG	Công việc
thành phố của bạn như thế nào	BẠN THÀNH PHỐ NHƯ THẾ NÀO	Mối quan hệ
cô ấy có ý nghĩa gì với anh không	CÔ ẤY Ý NGHĨA VỚI BẠN GÌ	Mối quan hệ
nó có ngon không	NÓ NGON CÓ KHÔNG	Cuộc sống thường nhật
vâng ấm trà bao nhiêu	ẤM TRÀ BAO NHIÊU	Cuộc sống thường nhật
bọn trẻ đang vui đùa xây lâu đài trên bãi cát	TRÊN BÃI CÁT BỌN TRẺ LÂU ĐÀI XÂY	Du lịch
người chiến thắng được trao tặng một vòng nguyệt quế danh giá	NGƯỜI CHIẾN THẮNG VÒNG NGUYỆT QUẾ DANH GIÁ 1 TRAO TẶNG ĐƯỢC	Văn hóa và Giáo dục
hai người bạn thân đang nói chuyện rất vui vẻ trong quán cà phê	NGƯỜI BẠN THÂN 2 NÓI CHUYỆN VUI VẺ TRONG QUÁN CÀ PHÊ	Mối quan hệ
bạn có tin vào ufo không	BẠN UFO TIN CÓ KHÔNG	Mối quan hệ
tôi sẽ lấy nó bao nhiêu	TÔI MÓN ĐÓ LẤY SẼ BAO NHIÊU TIỀN VẬY	Cuộc sống thường nhật
khoảng bảy năm nay và bạn	KHOẢNG BẢY NĂM NAY CÒN BẠN THÌ SAO	Mối quan hệ
sinh nhật của tôi tôi quên mất nó cảm ơn bạn đã nhớ sinh nhật tôi	SINH NHẬT TÔI HẢ TÔI QUÊN MẤT BẠN NHỚ CẢM ƠN NHÉ	Mối quan hệ
hãy đặt bút lên giấy	GIẤY BÚT ĐẶT LÊN	Cuộc sống thường nhật
luật sư đang thảo luận điều khoản trong hợp đồng với khách hàng	LUẬT SƯ KHÁCH HÀNG THẢO LUẬN CÙNG NHAU ĐIỀU KHOẢN TRONG HỢP ĐỒNG	Công việc
vậy muốn tôi đặt vé lần nữa không	TÔI VÉ ĐẶT LẠI NHÉ	Mối quan hệ
à tôi đã mời họ đi ăn trưa	TÔI MỜI HỌ ĂN TRƯA	Mối quan hệ
cảm ơn tôi cũng tự hào về bản thân mình	CẢM ƠN TÔI BẢN THÂN TỰ HÀO CŨNG	Văn hóa và Giáo dục
giá bán là bao nhiêu	GIÁ BÁN BAO NHIÊU	Cuộc sống thường nhật
thật hoàn hảo hẹn gặp lại vào thứ bảy	THẬT HOÀN HẢO HẸN GẶP LẠI THỨ BẢY	Cuộc sống thường nhật
nó có dễ học không	NÓ HỌC DỄ CÓ KHÔNG	Mối quan hệ
nhà bạn có bao nhiêu phòng	NHÀ BẠN CÓ MẤY PHÒNG	Cuộc sống thường nhật
y tá đang đo huyết áp cho bệnh nhân trong phòng khám	Y TÁ BỆNH NHÂN DO HUYẾT ÁP TRONG PHÒNG KHÁM	Sức khỏe
gia đình tôi đã đến thăm văn miếu quốc tử giám vào hè năm ngoái	GIA ĐÌNH TÔI MÙA HÈ NĂM NGOÁI VĂN MIẾU QUỐC TỬ GIÁM THĂM	Du lịch
tôi có quen ai không	TÔI NGƯỜI QUEN CÓ KHÔNG	Mối quan hệ
sao bạn không làm ít bắp	BẠN LÀM NGÔ ÍT KHÔNG TẠI SAO	Cuộc sống thường nhật
học sinh xếp thành hàng dọc ngay ngắn để chào cờ đầu tuần	HỌC SINH HÀNG DỌC XẾP NGAY NGẮN ĐỂ CHÀO CỜ ĐẦU TUẦN	Cuộc sống học đường
thành phố biển quy nhơn là một điểm đến du lịch rất hấp dẫn	QUY NHƠN THÀNH PHỐ BIỂN DU LỊCH ĐIỂM ĐẾN ĐỊA ĐIỂM 1 HẤP DẪN	Du lịch
chắc chắn rồi chúng tôi yêu nhau và chăm sóc lẫn nhau	CHÚNG TÔI YÊU THƯƠNG CHĂM SÓC NHAU	Mối quan hệ
vâng tôi có nhưng tôi phải chờ	TÔI CÓ NHƯNG TÔI CHỜ PHẢI	Thái độ và Cảm xúc
tôi chắc chắn bạn sẽ làm tốt	TÔI CHẮC CHẮN BẠN LÀM TỐT	Cuộc sống thường nhật
tôi có dây thừng rồi	TÔI DÂY THỪNG CÓ RỒI	Cuộc sống thường nhật
không có vấn đề gì cả bạn hãy cho tôi cơ hội	KHÔNG SAO CHO TÔI CƠ HỘI ĐI	Tài chính
chú chim đại bàng sải cánh bay nhanh trên bầu trời xanh	CHÚ CHIM ĐẠI BÀNG BAY NHANH TRÊN BẦU TRỜI XANH	Cuộc sống thường nhật
ông có giữ cái túi nhỏ làm hành lý xách tay không	ÔNG MANG TÚI HÀNH LÝ NHỎ KHÔNG	Du lịch
anh ấy đã quyết tâm nhận công việc này	ANH ẤY CÔNG VIỆC NAY QUYẾT TÂM NHẬN	Thái độ và Cảm xúc
bạn có muốn một cái tủ lạnh mới không	BẠN TỦ LẠNH MỚI MỘT MUỐN KHÔNG	Mối quan hệ
bạn cần đợi cho đến khi nó khô	BẠN ĐỢI ĐẾN KHI KHÔ	Cuộc sống thường nhật
bạn có muốn vào nhà bếp và ăn một cái gì đó ấm áp	BẠN NHÀ BẾP VÀO MUỐN CÁI GÌ ẤM ÁP ĂN	Cuộc sống thường nhật
cô ấy sống trong một căn nhà nhỏ bé rất ấm cúng	CÔ ẤY SỐNG TRONG CĂN NHÀ NHỎ 1 ẤM	Cuộc sống thường nhật
bạn có khuyên bạn nên đến đó trong vài ngày không	NGÀY MỘT SỐ BẠN ĐẾN KHUYÊN CÓ KHÔNG	Mối quan hệ
thịt bò đấy bạn thích không	THỊT BÒ ĐẤY BẠN THÍCH CÓ KHÔNG	Du lịch
giá thuê một năm là bao nhiêu	MỘT NĂM THUÊ GIÁ BAO NHIÊU	Cuộc sống thường nhật
chúng ta sẽ phải thảo luận với sếp của tôi	CHÚNG TA SẾP TÔI BÀN LẠI PHẢI	Công việc
một con ruồi cứ bay vo ve quanh đĩa hoa quả trên bàn	ĐĨA HOA QUẢ CON RUỒI 1 BAY XUNG QUANH TRÊN BÀN	Cuộc sống thường nhật
cành cây khô nhọn hoắt chĩa thẳng lên bầu trời xám xịt	CÀNH CÂY KHÔ NHỌN CHĨA THẲNG LÊN BẦU TRỜI XÁM	Cuộc sống thường nhật
bạn không thích cá sau đó	ANH CÁ THÍCH KHÔNG À	Cuộc sống thường nhật
bạn vừa nói gì	BẠN NÓI GÌ THẾ	Cuộc sống thường nhật
bạn có thể giữ nó miễn là bạn cần	BẠN NÓ GIỮ NẾU CẦN	Mối quan hệ
thật tuyệt vời bạn thực sự có tôi ở đó	TUYỆT VỜI BẠN TÔI Ở ĐÓ	Chính trị
bạn có biết nhà hàng marốc ở đâu không	BẠN NHÀ HÀNG MA RỐC ĐÂU BIẾT KHÔNG	Mối quan hệ
chuyến tàu cao tốc đưa chúng tôi đến nơi rất nhanh chóng	CHUYẾN TÀU CAO TỐC CHÚNG TÔI ĐƯA ĐẾN NƠI NHANH CHÓNG	Du lịch
ý tưởng tuyệt vời	Ý TƯỞNG TUYỆT VỜI	Cuộc sống thường nhật
đó là toa xe của tôi tôi cần nước để tưới hoa trong sân	ĐÓ TOA XE CỦA TÔI TÔI NƯỚC CẦN TƯỚI HOA SÂN	Cuộc sống thường nhật
vì lười nên tôi học kém	VÌ LƯỜI NÊN TÔI HỌC KÉM	Văn hóa và Giáo dục
cô ấy đeo một đôi khuyên tai ngọc trai rất đẹp và sang trọng	CÔ ẤY KHUYÊN TAI NGỌC TRAI RẤT ĐẸP VÀ SANG TRỌNG	Cuộc sống thường nhật
công việc này đòi hỏi nhiều kỹ năng giao tiếp và xử lý	CÔNG VIỆC NÀY KĨ NĂNG GIAO TIẾP VÀ XỬ LÝ ĐÒI HỎI CÓ	Công việc
hãy tìm con đường ngắn nhất để đến trường học	ĐẾN TRƯỜNG HỌC CON ĐƯỜNG NGẮN NHẤT TÌM	Cuộc sống học đường
điều đó làm tôi sợ	TÔI ĐIỀU ĐÓ SỢ	Mối quan hệ
chương trình xóa mù chữ đã giúp nhiều người biết đọc biết viết	CHƯƠNG TRÌNH MÙ CHỮ XOÁ NHIỀU NGƯỜI BIẾT ĐỌC BIẾT VIẾT GIÚP	Văn hóa và Giáo dục
bạn sẽ không bị muộn đâu vẫn còn sớm	BẠN MUỘN KHÔNG SỚM VẪN	Cuộc sống thường nhật
vậy anh đi picnicking à	ANH DÃ NGOẠI ĐI HẢ	Mối quan hệ
tôi thấy bạn có bất kỳ ý tưởng cho đến nay	TÔI Ý TƯỞNG HIỂU CHƯA	Cuộc sống thường nhật
nó có ảnh hưởng đến bạn nhiều không	CHUYỆN ĐÓ ẢNH HƯỞNG NHIỀU BẠN KHÔNG	Công việc
dịp sinh nhật tôi thường gửi quà cho những người bạn ở xa	DỊP SINH NHẬT TÔI QUÀ NGƯỜI BẠN XA GỬI	Mối quan hệ
các bạn học sinh không được chạy nhảy ngoài hành lang lớp học	CÁC BẠN HỌC SINH LỚP HỌC NGOÀI HÀNH LANG CHẠY NHẢY KHÔNG	Cuộc sống học đường
tôi cảm thấy thật may mắn khi có những người bạn tốt	TÔI MAY MẮN KHI NHỮNG NGƯỜI BẠN TỐT CÓ	Thái độ và Cảm xúc
nhà máy thủy điện hòa bình là một công trình lớn	NHÀ MÁY THUỶ ĐIỆN HOÀ BÌNH LÀ CÔNG TRÌNH LỚN 1	Chính trị
nhìn những đám mây kìa	NHÌN KÌA NHỮNG ĐÁM MÂY	Cuộc sống thường nhật
phụ thuộc vào cái gì	PHỤ THUỘC CÁI GÌ	Cuộc sống thường nhật
trong câu vị ngữ thường là động từ hoặc cụm động từ	CÂU VỊ NGỮ THƯỜNG LÀ ĐỘNG TỪ HOẶC CỤM ĐỘNG TỪ	Văn hóa và Giáo dục
tôi có thể hỏi nếu bạn đã cố gắng bỏ hút thuốc không	BẠN THUỐC BỎ CỐ TỪNG CHƯA	Mối quan hệ
cơ sở này thật tuyệt bạn có nghĩ vậy không	CƠ SỞ NÀY TUYỆT BẠN THẤY KHÔNG	Chính trị
xin chào thưa ông bạn đang ở đây để thảo luận về dịch vụ giải quyết mạng phải không	XIN CHÀO BẠN THẢO LUẬN DỊCH VỤ GIẢI QUYẾT INTERNET ĐÚNG KHÔNG	Tài chính
tôi không biết bạn có tập yoga đấy	TÔI KHÔNG BIẾT BẠN TẬP YOGA CÓ	Cuộc sống thường nhật
vâng tôi đã sẵn sàng	VÂNG TÔI SẴN SÀNG RỒI	Cuộc sống thường nhật
cô ấy bao nhiêu tuổi	CÔ ẤY TUỔI BAO NHIÊU	Mối quan hệ
quảng bình ở miền trung à 	QUẢNG BÌNH Ở MIỀN TRUNG À	Mối quan hệ
tốt hơn nhiều so với lần trước hả	LẦN TRƯỚC SO TỐT HƠN PHẢI KHÔNG	Mối quan hệ
bạn có thể cho tôi biết làm thế nào để làm cho nó	BẠN CHO TÔI BIẾT LÀM THẾ NÀO	Cuộc sống thường nhật
giờ thì giống nhau	BÂY GIỜ GIỐNG NHAU	Cuộc sống thường nhật
tôi sẽ cố gắng hết sức để hoàn thành mục tiêu	TÔI CỐ GẮNG HẾT SỨC MỤC TIÊU HOÀN THÀNH	Thái độ và Cảm xúc
bạn thích trái cây gì	BẠN TRÁI CÂY THÍCH GÌ	Cuộc sống thường nhật
tuyệt vời nó ở đâu	TUYỆT VỜI NÓ Ở ĐÂU	Du lịch
tôi muốn bạn thích chiếc mũ như thế nào	BẠN KIỂU MŨ THÍCH NÀO	Cuộc sống thường nhật
tình cảm anh em trong gia đình chúng tôi luôn rất khăng khít	TRONG GIA ĐÌNH ANH EM CHÚNG TÔI TÌNH CẢM RẤT ĐOÀN KẾT	Mối quan hệ
cắm trại tuyệt vời là khi bạn ngủ xa nhà	CẮM TRẠI TUYỆT VỜI KHI BẠN NGỦ NHÀ XA	Du lịch
ủy ban nhân dân quận vừa ban hành một thông báo mới	UỶ BAN NHÂN DÂN QUẬN THÔNG BÁO MỚI 1 ĐƯA RA	Chính trị
bạn có nhìn rõ mặt hắn không	BẠN NHÌN RÕ MẶT HẮN KHÔNG	Chính trị
xin lỗi tôi muốn biết giá của bạn cho mỗi tá sách tập thể dục là bao nhiêu	GIÁ MỖI TÁ VỞ BÀI TẬP BAO NHIÊU HỎI CHO TÔI	Công việc
tôi thấy quảng cáo này trên báo bạn nên xem qua	TRÊN BÁO TÔI THẤY QUẢNG CÁO NÀY BẠN XEM NÊN	Công việc
à tôi sẽ uống một ly nước khoáng	TÔI MỘT NƯỚC KHOÁNG UỐNG	Cuộc sống thường nhật
bạn có muốn thử công thức đặc biệt của tôi	BẠN CÔNG THỨC ĐẶC BIỆT CỦA TÔI THỬ	Cuộc sống thường nhật
có vẻ như bạn hài lòng với quyết định của mình	BẠN QUYẾT ĐỊNH CỦA BẠN HÀI LÒNG	Mối quan hệ
xin lỗi không có gì khác biệt	XIN LỖI KHÁC BIỆT KHÔNG	Du lịch
oh bạn trông như thế nào bạn có cao không	Ồ BẠN THẾ NÀO TRÔNG CAO KHÔNG	Mối quan hệ
tình yêu thương có sức mạnh màu nhiệm hàn gắn mọi thứ	TÌNH YÊU THƯƠNG SỨC MẠNH NHIỆM MÀU THẦN KỲ CÓ MỌI THỨ HÀN GẮN	Thái độ và Cảm xúc
bạn nghĩ gì về bộ phim	BẠN BỘ PHIM NGHĨ GÌ	Mối quan hệ
ok bạn quay lại xe của chúng tôi và lấy đồ dã ngoại	BẠN XE QUAY LẠI ĐỒ DÃ NGOẠI LẤY	Cuộc sống thường nhật
không tôi không chắc tôi nghĩ về 65 mph phải không	TÔI CHẮC KHÔNG KHOẢNG 65 KM H ĐÚNG KHÔNG	Cuộc sống thường nhật
rẽ phải sau đó rẽ thứ hai bên trái của bạn	RẼ PHẢI VÀ SAU ĐÓ RẼ THỨ HAI BÊN TRÁI CỦA BẠN	Cuộc sống thường nhật
tốt hơn là đi tàu điện ngầm nhanh hơn và tiện lợi hơn	TÀU ĐIỆN NGẦM ĐI TỐT HƠN NHANH TIỆN LỢI HƠN	Cuộc sống thường nhật
anh có bao giờ thích trò chuyện trực tuyến không	ANH TRÒ CHUYỆN TRỰC TUYẾN THÍCH KHÔNG	Mối quan hệ
ban giám khảo đang chấm điểm cho các thí sinh rất công tâm	BAN GIÁM KHẢO ĐIỂM CHẤM CÔNG TÂM CÔNG BẰNG CHO CÁC THÍ SINH	Văn hóa và Giáo dục
ánh sáng lung linh của cây nến tạo không khí thật ấm cúng	CÂY NẾN ÁNH SÁNG LUNG LINH TẠO KHÔNG KHÍ ẤM CÚNG	Cuộc sống thường nhật
tôi có nên đứng tự nhiên không	TÔI ĐỨNG TỰ NHIÊN NÊN CÓ KHÔNG	Sức khỏe
bạn thật may mắn khi được nhìn thấy hai cầu vồng trong một ngày	BẠN MAY MẮN KHI 1 NGÀY 2 CẦU VỒNG NHÌN THẤY	Cuộc sống thường nhật
chúng tôi rất muốn được gặp bạn lúc 8h 	CHÚNG TÔI GẶP BẠN LÚC 8H RẤT MUỐN	Cuộc sống thường nhật
tất nhiên tôi xin lỗi vì con gái của bạn	TÔI CON GÁI BẠN THAY XIN LỖI TẤT NHIÊN RỒI	Thái độ và Cảm xúc
mặt trời đã lên	MẶT TRỜI LÊN RỒI	Cuộc sống thường nhật
ồ chắc là quý lắm nó dễ vỡ lắm phải không	Ồ QUÝ LẮM NÓ VỠ DỄ PHẢI KHÔNG	Cuộc sống thường nhật
bạn không xem tv à	BẠN TV XEM KHÔNG À	Cuộc sống thường nhật
người lãnh đạo là đầu tàu gương mẫu cho cả tập thể	NGƯỜI LÃNH ĐẠO LÀ TẤM GƯƠNG HÌNH MẪU CHO CẢ TẬP THỂ	Công việc
bây giờ đặt nó vào bát	BÂY GIỜ BÁT ĐẶT VÀO	Cuộc sống thường nhật
hai người bạn đang thì thầm một bí mật nào đó	NGƯỜI BẠN 2 BÍ MẬT THÌ THẦM	Mối quan hệ
bạn không nghe thấy à	BẠN KHÔNG NGHE THẤY À	Mối quan hệ
có nhiều tạp chí trên kệ	TRÊN KỆ TẠP CHÍ NHIỀU	Cuộc sống thường nhật
tôi muốn giữ lạnh nước uống của tôi	NƯỚC UỐNG CỦA TÔI GIỮ LẠNH MUỐN	Cuộc sống thường nhật
